,PnL,SP500PnL,ExcessPnL,MaxDrawdown
train,0.10573017679362344,0.0781574082060359,0.027572768587587546,-0.17175448395121995
test,0.1396996567328655,0.17019546140152308,-0.03049580466865759,-0.07761387128158065
